-0.4966083713,0.3088439505,2.4827165604
-0.0091200301,-0.1872615247,-0.5729960799
-0.0091200301,-0.1872615247,-0.5729960799
-0.2398439012,0.4809758629,2.4342765808
-0.2248673453,0.4675595621,2.3404974937
-0.2819545140,0.6973321473,3.3237569332
-0.2044805353,0.5976211963,2.7235870361
-0.1200013500,0.3747769841,1.6818809509
-0.0506174747,0.2051015744,0.8814324141
-0.0509720456,0.2161511399,0.9214684963
-0.0583945640,0.4474859244,1.7596689463
-0.0598495153,0.4930293874,1.9247162342
0.1151541885,0.3563664609,1.2543959618
0.1342276394,0.3899653596,1.3940808773
0.1337951495,0.3883075344,1.3886950016
0.1419184172,0.3911473363,1.4180303812
-0.0349905138,-0.3005033315,-0.9508023262
-0.0349690505,-0.3004379091,-0.9505783319
-0.0345872739,-0.3009309113,-0.9530185461
-0.0349449531,-0.3003477253,-0.9502857924
-0.0349449531,-0.3003477253,-0.9502857924
-0.0345872739,-0.3009309113,-0.9530185461
-0.0584431593,-0.4671341529,-1.6969593763
-0.0208521533,-0.3821569394,-1.4530546665
-0.0345872739,-0.3009309113,-0.9530185461
-0.0345872739,-0.3009309113,-0.9530185461
-0.0345872739,-0.3009309113,-0.9530185461
-0.0419754584,-0.4365525261,-1.6499030590
-0.0174400077,-0.3767670107,-1.4560379982
0.2370336811,0.1272825816,-0.8672069311
0.2370336811,0.1272825816,-0.8672069311
0.0741975248,-0.2067747358,-0.6568828225
0.0728099241,-0.2075217044,-0.6569041014
0.0728099241,-0.2075217044,-0.6569041014
0.1434229859,-0.0435349760,-0.7612462044
0.1421781366,-0.0459016902,-0.7596408129
0.1342957461,-0.0488292340,-0.7524325848
0.1347034088,-0.0401355113,-0.7562999725
0.1346052014,-0.0377726905,-0.7570215464
0.1279669990,-0.0491686188,-0.7488598824
0.1292189027,-0.0338372865,-0.7563953996
0.1294932470,-0.0317206191,-0.7567159534
-0.0169372484,-0.2304381155,-0.7254495025
-0.0169372484,-0.2304381155,-0.7254495025
-3.9936022085,0.4243154204,-4.7091355324
-3.9936022085,0.4243154204,-4.7091355324
1.0941544409,0.3147591553,-0.1944081187
1.1420941841,0.4568424404,-0.2227842808
1.0432755661,0.1097474011,0.0777079985
1.0135450106,0.1139972364,0.0659617409
1.0098199879,0.1182329104,0.0696064979
1.0098199879,0.1182329104,0.0696064979
1.0554216135,0.0842558070,0.1400372088
1.0554216135,0.0842558070,0.1400372088
1.0195064716,0.1028386475,0.0936930254
0.9991589847,0.1224535380,0.0592504777
0.9991589847,0.1224535380,0.0592504777
1.0127743555,0.1077597136,0.0948290825
1.0339183757,0.0941959726,0.1255399585
0.9957954976,0.1086818866,0.0950173587
0.9146948879,0.1374837363,0.0120697599
0.9146948879,0.1374837363,0.0120697599
0.9164615574,0.1299484277,0.0215646178
0.9164615574,0.1299484277,0.0215646178
0.9093423646,0.1355225170,0.0136797074
1.0551026673,-0.4681608080,0.7266948223
0.9766538320,0.1118294133,0.0966761559
0.9330884470,0.1258778430,0.0472244658
0.9117898743,0.1212539122,0.0368039310
0.9599285295,0.1047935870,0.0946509987
0.9703370731,0.1093508835,0.0990969762
0.9114858690,0.1418217007,0.0211716350
0.9837391387,0.1189478474,0.1248442605
-1.7361032901,0.0953961042,-2.1545264721
-1.7361032901,0.0953961042,-2.1545264721
-1.7361032901,0.0953961042,-2.1545264721
-1.7361032901,0.0953961042,-2.1545264721
-1.7361032901,0.0953961042,-2.1545264721
-1.7361032901,0.0953961042,-2.1545264721
-1.7361032901,0.0953961042,-2.1545264721
-1.0216926708,0.1487727697,-1.5603542328
-1.7361032901,0.0953961042,-2.1545264721
0.8930171200,-0.2953423551,0.7866210938
0.8930171200,-0.2953423551,0.7866210938
0.8747294128,-0.2811361908,0.7585700750
0.8907740647,-0.2918075832,0.7892025709
0.7291094592,0.3956582608,-0.4732052684
